iter	Passed	Remaining
0	1	125
1	2	120
2	4	131
3	4	113
4	5	110
5	6	102
6	7	98
7	8	93
8	8	88
9	9	85
10	10	82
11	10	79
12	11	76
13	12	74
14	12	72
15	13	71
16	14	70
17	15	69
18	16	68
19	16	66
20	17	66
21	18	65
22	19	63
23	19	62
24	20	61
25	21	60
26	21	59
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	27	49
36	28	48
37	29	47
38	29	46
39	30	45
40	31	45
41	32	44
42	33	44
43	34	43
44	35	42
45	35	42
46	36	41
47	37	40
48	37	39
49	38	38
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	47	28
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	54	19
74	55	18
75	56	17
76	56	16
77	57	16
78	58	15
79	59	14
80	60	14
81	60	13
82	61	12
83	63	12
84	64	11
85	65	10
86	66	9
87	67	9
88	67	8
89	69	7
90	69	6
91	70	6
92	71	5
93	72	4
94	73	3
95	74	3
96	75	2
97	75	1
98	76	0
99	77	0
